Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Fancy 3 Bedroom Bungalow Semi Detached With A Room Bq,"Abraham Adesanya, Ajah, Lagos","₦100,000,000",Ideal Homes & Properties 08171969365,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/ajah/3361247-fancy-3-bedroom-bungalow-semi-detached-with-a-room-bq,100000000
Luxury 3 Bedroom Flat,"Emily Estate, Igbogbo, Ikorodu, Lagos","₦15,000,000",Nikolight 07085741001,3,3.0,4.0,9.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3361204-luxury-3-bedroom-flat,15000000
3 Bedroom Terrace Duplex,"Ikate, Lekki, Lagos","₦200,000,000",Distress Property Market 08133786380,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3361134-3-bedroom-terrace-duplex,200000000
3 Bedroom Fully Furnished Terrace Duplex,"Fairview Estate, Igando, Ikotun, Lagos","₦140,000,000",Heavensent Properties 08102912408,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikotun/igando/3201156-3-bedroom-fully-furnished-terrace-duplex,140000000
Newly Built 3 Bedroom Terraced Duplex,"General Paint, Ajah, Lagos","₦75,000,000",Heavensent Properties 08102912408,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3210516-newly-built-3-bedroom-terraced-duplex,75000000
3 Bedroom Apartment,"Phase 1, Lekki, Lagos","₦400,000,000",Heavensent Properties 08102912408,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3213479-3-bedroom-apartment,400000000
3 Bedroom Apartment,"Ikate, Lekki, Lagos","₦90,000,000",Heavensent Properties 08102912408,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3228370-3-bedroom-apartment,90000000
3 Bedrooms Apartment,"Monastery Road, Sangotedo, Ajah, Lagos","₦65,000,000",Heavensent Properties 08102912408,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3268284-3-bedrooms-apartment,65000000
"Luxurious 3 Bedroom Apartment With Elevator, Swimming Pool, Gym & Bq","Lekki Phase 1, Lekki, Lagos","₦430,000,000",Island Luxury Homes 07015290935,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361044-luxurious-3-bedroom-apartment-with-elevator-swimming-pool-gym-bq,430000000
"Newly Built 2 Bedroom Apartment With Swimming Pool, Gym And Bq","Lekki Phase 1, Lekki, Lagos","₦260,000,000",Island Luxury Homes 07015290935,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361043-newly-built-2-bedroom-apartment-with-swimming-pool-gym-and-bq,260000000
